Date,Asset1_Return,Asset2_Return,Asset3_Return,Asset4_Return,Asset5_Return
01-01-2023,0.02,0.01,0.03,0.015,0.025
01-02-2023,-0.015,0.02,-0.01,0.03,-0.005
01-03-2023,0.01,-0.02,0.015,0.025,0.02
01-04-2023,0.005,0.015,0.02,-0.01,0.03
01-05-2023,-0.02,0.01,0.025,0.015,-0.015
01-06-2023,0.03,-0.015,-0.02,0.02,0.01
01-07-2023,0.015,0.03,0.01,-0.02,0.02
01-08-2023,-0.01,-0.005,0.015,0.03,-0.02
01-09-2023,0.02,0.01,-0.02,0.025,0.015
01-10-2023,-0.015,0.02,0.03,-0.01,0.01
01-11-2023,0.01,-0.015,-0.005,0.02,0.015
01-12-2023,0.025,0.03,0.01,-0.02,-0.01
01-01-2024,-0.02,0.015,0.02,0.01,0.03
01-02-2024,0.01,-0.01,0.03,-0.015,0.02
01-03-2024,0.015,0.02,-0.02,0.025,-0.005
01-04-2024,0.02,-0.015,0.01,0.03,-0.01
01-05-2024,-0.01,0.03,-0.005,0.015,0.02
01-06-2024,0.03,-0.01,0.015,0.02,-0.02
01-07-2024,0.005,0.02,-0.01,0.03,0.01
01-08-2024,-0.015,-0.02,0.025,0.01,-0.005
01-09-2024,0.02,0.015,0.01,-0.005,0.03
01-10-2024,-0.02,0.03,-0.015,0.025,0.01
01-11-2024,0.01,-0.01,0.02,-0.02,0.015
01-12-2024,0.015,0.02,-0.01,0.03,-0.005
01-01-2025,0.02,-0.015,0.03,-0.01,0.015
01-02-2025,-0.005,0.02,-0.02,0.01,0.025
01-03-2025,0.03,-0.01,0.015,-0.015,0.02
01-04-2025,0.015,0.03,0.02,-0.02,0.01
01-05-2025,-0.01,-0.005,0.03,-0.015,0.025
01-06-2025,0.02,0.01,-0.02,0.015,0.03
01-07-2025,-0.015,0.02,0.025,-0.01,-0.005
01-08-2025,0.01,-0.015,0.015,0.02,0.03
01-09-2025,0.03,-0.02,-0.005,0.01,-0.01
01-10-2025,0.02,0.03,-0.015,0.025,-0.02
01-11-2025,-0.01,0.015,0.01,0.03,0.02
01-12-2025,0.015,-0.01,0.02,-0.02,-0.005
01-01-2026,0.02,0.015,0.03,-0.005,0.01
01-02-2026,-0.02,0.03,-0.015,0.02,0.025
01-03-2026,0.01,-0.01,0.02,0.015,-0.015
01-04-2026,-0.005,0.02,-0.02,0.03,0.01
01-05-2026,0.025,-0.015,0.01,-0.01,0.02
01-06-2026,-0.01,0.03,-0.005,0.015,0.03
01-07-2026,0.02,-0.02,0.03,-0.015,-0.02
01-08-2026,0.015,0.02,-0.01,0.01,0.025
01-09-2026,0.03,-0.01,0.015,0.02,-0.005
01-10-2026,-0.015,0.03,-0.02,-0.005,0.01
01-11-2026,0.01,-0.02,0.025,0.03,-0.01
01-12-2026,-0.01,0.01,-0.015,0.02,0.015
01-01-2027,0.03,-0.005,0.02,-0.02,0.03
01-02-2027,0.02,0.03,-0.01,0.015,-0.015
01-03-2027,-0.015,0.01,0.025,-0.005,0.02
01-04-2027,0.01,-0.015,0.03,0.015,0.01
01-05-2027,0.02,-0.01,-0.02,0.03,-0.005
01-06-2027,-0.005,0.02,0.015,-0.01,0.025
01-07-2027,0.015,-0.005,0.03,0.02,-0.015
01-08-2027,-0.02,0.03,-0.01,0.01,0.015
01-09-2027,0.02,-0.015,0.02,-0.02,0.03
01-10-2027,0.015,0.02,0.01,0.03,-0.01
01-11-2027,-0.01,0.015,-0.005,0.02,-0.02
01-12-2027,0.025,-0.02,0.03,-0.01,0.01
01-01-2028,0.01,0.03,-0.015,0.02,0.015
01-02-2028,-0.015,0.02,0.01,-0.005,0.03
01-03-2028,0.02,-0.01,0.025,0.03,-0.02
01-04-2028,-0.005,0.015,-0.02,0.015,0.02
01-05-2028,0.03,-0.01,0.02,-0.015,0.01
01-06-2028,0.015,0.03,-0.005,0.02,-0.005
01-07-2028,-0.02,0.01,0.03,-0.01,0.015
01-08-2028,0.01,-0.015,0.015,0.02,0.03
01-09-2028,0.02,-0.02,-0.005,0.01,-0.01
01-10-2028,0.03,0.02,-0.015,0.025,-0.02
01-11-2028,-0.01,0.015,0.01,0.03,0.02
01-12-2028,0.015,-0.01,0.02,-0.02,-0.005
01-01-2029,0.01,0.02,0.03,-0.015,0.015
01-02-2029,-0.01,-0.02,-0.01,0.025,-0.005
01-03-2029,0.015,0.03,0.02,-0.01,0.03
01-04-2029,0.01,-0.015,0.01,0.02,-0.01
01-05-2029,-0.02,0.01,-0.005,0.03,0.02
01-06-2029,0.03,-0.02,0.015,0.015,-0.015
01-07-2029,0.015,0.02,-0.02,-0.005,0.025
01-08-2029,-0.01,0.03,-0.01,0.02,0.01
01-09-2029,0.02,-0.005,0.025,-0.015,0.03
01-10-2029,-0.015,0.01,0.03,0.02,-0.02
01-11-2029,0.02,-0.01,-0.02,0.01,0.015
01-12-2029,0.015,0.02,0.01,-0.015,0.02
01-01-2030,0.02,-0.015,0.01,0.03,-0.005
01-02-2030,-0.01,0.015,0.02,-0.02,0.015
01-03-2030,-0.005,0.02,-0.02,0.01,0.03
01-04-2030,0.025,-0.01,0.015,-0.015,0.02
01-05-2030,0.015,0.03,-0.005,0.02,-0.005
01-06-2030,-0.02,0.01,0.015,0.03,-0.02
01-07-2030,0.02,-0.02,0.03,-0.015,-0.01
01-08-2030,0.015,0.02,-0.01,0.01,0.03
01-09-2030,0.03,-0.01,0.015,0.02,-0.005
01-10-2030,-0.015,0.03,-0.02,-0.005,0.01
01-11-2030,0.01,-0.02,0.025,0.03,-0.01
01-12-2030,-0.01,0.01,-0.015,0.02,0.015
01-01-2031,0.03,-0.005,0.02,-0.02,0.03
01-02-2031,0.02,0.03,-0.01,0.015,-0.015
01-03-2031,-0.015,0.01,0.025,-0.005,0.02
01-04-2031,0.01,-0.015,0.03,0.015,0.01
